# BUSCO version is: 5.6.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2024-01-08, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
56729at4751	Complete	contig_5	626258	629173	+	1031.1	727	https://v10-1.orthodb.org/?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	contig_90	1287988	1291725	+	1045.6	688	https://v10-1.orthodb.org/?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	contig_1	1273538	1277644	+	356.1	515	https://v10-1.orthodb.org/?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	contig_1	653140	656200	+	861.2	676	https://v10-1.orthodb.org/?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	contig_86	800467	790863	-	306.1	398	https://v10-1.orthodb.org/?query=61411at4751	WD40-repeat-containing domain
61438at4751	Fragmented	contig_86	2294215	2288158	-	479.1	430	https://v10-1.orthodb.org/?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Missing
62846at4751	Missing
63635at4751	Complete	contig_70	496127	493146	-	934.7	716	https://v10-1.orthodb.org/?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	contig_86	936662	935320	-	298.1	282	https://v10-1.orthodb.org/?query=63838at4751	AP complex subunit beta
64002at4751	Complete	contig_6	701014	697340	-	678.0	576	https://v10-1.orthodb.org/?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	contig_6	17995	21640	+	859.5	520	https://v10-1.orthodb.org/?query=64498at4751	Glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	contig_12	1330160	1327513	-	661.7	509	https://v10-1.orthodb.org/?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	contig_12	459292	462001	+	707.8	526	https://v10-1.orthodb.org/?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	contig_85	1676385	1673728	-	609.2	537	https://v10-1.orthodb.org/?query=66151at4751	Tetratricopeptide repeat
67284at4751	Complete	contig_12	125061	132482	+	355.6	516	https://v10-1.orthodb.org/?query=67284at4751	WD40-repeat-containing domain
67399at4751	Complete	contig_2	832882	830007	-	583.4	484	https://v10-1.orthodb.org/?query=67399at4751	Carbon-nitrogen hydrolase
67806at4751	Complete	contig_70	129151	123871	-	337.0	386	https://v10-1.orthodb.org/?query=67806at4751	Actin family
68466at4751	Complete	contig_12	23943	20522	-	945.4	769	https://v10-1.orthodb.org/?query=68466at4751	FACT complex subunit Spt16 domain
68881at4751	Complete	contig_92	13546	16449	+	223.6	286	https://v10-1.orthodb.org/?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	contig_12	670058	666772	-	1094.5	714	https://v10-1.orthodb.org/?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	contig_81	286495	283581	-	878.3	646	https://v10-1.orthodb.org/?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	contig_12	1200998	1204426	+	652.5	454	https://v10-1.orthodb.org/?query=73383at4751	DNA topoisomerase I
73477at4751	Complete	contig_86	283281	285345	+	668.5	398	https://v10-1.orthodb.org/?query=73477at4751	Armadillo
73771at4751	Complete	contig_12	1438126	1434971	-	822.9	598	https://v10-1.orthodb.org/?query=73771at4751	WD40 repeat
75033at4751	Complete	contig_12	1458123	1460258	+	507.9	466	https://v10-1.orthodb.org/?query=75033at4751	RNA polymerase I specific transcription initiation factor RRN3
75456at4751	Complete	contig_12	741421	743963	+	343.1	394	https://v10-1.orthodb.org/?query=75456at4751	Vps53-like, N-terminal
75463at4751	Complete	contig_6	705004	707310	+	772.6	580	https://v10-1.orthodb.org/?query=75463at4751	Mitochondrial intermediate peptidase
75709at4751	Complete	contig_70	118521	122694	+	1017.4	719	https://v10-1.orthodb.org/?query=75709at4751	Lysophospholipase NTE1
75976at4751	Complete	contig_70	595799	599283	+	624.6	458	https://v10-1.orthodb.org/?query=75976at4751	Sodium/calcium exchanger membrane region
76196at4751	Complete	contig_5	1643327	1645988	+	566.2	354	https://v10-1.orthodb.org/?query=76196at4751	Phosphoribosyl-AMP cyclohydrolase domain
76893at4751	Complete	contig_4	775070	772422	-	883.3	548	https://v10-1.orthodb.org/?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Complete	contig_5	1130619	1127459	-	427.7	494	https://v10-1.orthodb.org/?query=76975at4751	Exocyst complex component EXOC2/Sec5
78289at4751	Complete	contig_90	2971381	2973420	+	707.4	480	https://v10-1.orthodb.org/?query=78289at4751	EF-hand domain
78665at4751	Complete	contig_90	1931124	1933860	+	509.2	440	https://v10-1.orthodb.org/?query=78665at4751	Spindle pole body component
79262at4751	Complete	contig_81	203889	198591	-	790.6	456	https://v10-1.orthodb.org/?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	contig_85	524296	528555	+	704.5	411	https://v10-1.orthodb.org/?query=79294at4751	Methylglyoxal synthase-like domain
79797at4751	Complete	contig_85	481865	484917	+	451.2	466	https://v10-1.orthodb.org/?query=79797at4751	WD40-repeat-containing domain
79988at4751	Complete	contig_1	550861	548326	-	194.6	282	https://v10-1.orthodb.org/?query=79988at4751	Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain
81295at4751	Complete	contig_2	543607	537963	-	788.3	440	https://v10-1.orthodb.org/?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Complete	contig_90	633635	628043	-	1413.6	1313	https://v10-1.orthodb.org/?query=81614at4751	S1 domain
81687at4751	Complete	contig_85	312435	314613	+	774.5	433	https://v10-1.orthodb.org/?query=81687at4751	Asparagine synthase, glutamine-hydrolyzing
84250at4751	Complete	contig_5	1063265	1053785	-	564.5	711	https://v10-1.orthodb.org/?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Complete	contig_1	1198674	1195849	-	260.2	205	https://v10-1.orthodb.org/?query=84829at4751	Tapt1 family
85793at4751	Complete	contig_90	621162	617700	-	643.3	758	https://v10-1.orthodb.org/?query=85793at4751	STAG
86293at4751	Complete	contig_37	589116	592835	+	411.0	326	https://v10-1.orthodb.org/?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
87251at4751	Complete	contig_90	1832308	1828418	-	922.2	870	https://v10-1.orthodb.org/?query=87251at4751	Uncharacterised domain NUC173
87313at4751	Complete	contig_86	2381271	2379550	-	882.6	441	https://v10-1.orthodb.org/?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	contig_6	1775305	1780938	+	166.2	187	https://v10-1.orthodb.org/?query=90022at4751	Nucleotide-diphospho-sugar transferase
91135at4751	Complete	contig_37	713052	716717	+	375.9	311	https://v10-1.orthodb.org/?query=91135at4751	Far11/STRP, C-terminal
92267at4751	Fragmented	contig_12	588338	586877	-	420.1	300	https://v10-1.orthodb.org/?query=92267at4751	Phenylalanyl-tRNA synthetase, B3/B4
93783at4751	Complete	contig_86	1462580	1467217	+	453.5	543	https://v10-1.orthodb.org/?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	contig_1	678427	676124	-	460.5	418	https://v10-1.orthodb.org/?query=94384at4751	DNA topoisomerase
94628at4751	Complete	contig_4	346853	343986	-	902.1	527	https://v10-1.orthodb.org/?query=94628at4751	DNA helicase
95253at4751	Complete	contig_1	1052808	1055864	+	479.9	479	https://v10-1.orthodb.org/?query=95253at4751	WD40-repeat-containing domain
96633at4751	Complete	contig_81	85884	82794	-	578.9	581	https://v10-1.orthodb.org/?query=96633at4751	Cleavage and polyadenylation specificity factor 2, C-terminal
97141at4751	Complete	contig_5	1879071	1884132	+	354.5	358	https://v10-1.orthodb.org/?query=97141at4751	CDC45 family
98519at4751	Complete	contig_10	770542	773354	+	233.9	388	https://v10-1.orthodb.org/?query=98519at4751	Symplekin/Pta1
98733at4751	Complete	contig_85	2122670	2125123	+	871.7	546	https://v10-1.orthodb.org/?query=98733at4751	Aminoacyl-tRNA synthetase, class II
98739at4751	Complete	contig_86	1572498	1570002	-	590.7	412	https://v10-1.orthodb.org/?query=98739at4751	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
100957at4751	Complete	contig_12	1180210	1176725	-	686.1	744	https://v10-1.orthodb.org/?query=100957at4751	Armadillo-type fold
101133at4751	Complete	contig_85	1839675	1837768	-	488.7	380	https://v10-1.orthodb.org/?query=101133at4751	ATP-grasp fold
103183at4751	Complete	contig_37	241650	238317	-	798.4	641	https://v10-1.orthodb.org/?query=103183at4751	RuvA domain 2-like
103461at4751	Complete	contig_5	357182	361001	+	864.0	609	https://v10-1.orthodb.org/?query=103461at4751	p-loop containing nucleoside triphosphate hydrolase protein
103836at4751	Complete	contig_12	395240	396667	+	358.1	285	https://v10-1.orthodb.org/?query=103836at4751	WD40-repeat-containing domain
104173at4751	Complete	contig_5	2128896	2131172	+	491.3	475	https://v10-1.orthodb.org/?query=104173at4751	Nucleolar complex protein 2
104415at4751	Complete	contig_1	1697270	1706039	+	345.4	346	https://v10-1.orthodb.org/?query=104415at4751	WD40-repeat-containing domain
105401at4751	Complete	contig_90	2489984	2491915	+	1088.1	572	https://v10-1.orthodb.org/?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Missing
107136at4751	Complete	contig_2	872294	875306	+	776.3	535	https://v10-1.orthodb.org/?query=107136at4751	Glycoside hydrolase family 31
107464at4751	Complete	contig_90	2373334	2375086	+	640.6	406	https://v10-1.orthodb.org/?query=107464at4751	Glucose-6-phosphate isomerase
109276at4751	Complete	contig_5	566761	569722	+	452.1	403	https://v10-1.orthodb.org/?query=109276at4751	CCAAT-binding factor
111022at4751	Complete	contig_86	2254393	2256209	+	366.9	281	https://v10-1.orthodb.org/?query=111022at4751	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
111189at4751	Missing
112646at4751	Complete	contig_6	1763602	1765921	+	258.8	314	https://v10-1.orthodb.org/?query=112646at4751	Conserved oligomeric Golgi complex subunit 6
112937at4751	Complete	contig_6	781566	779123	-	425.5	481	https://v10-1.orthodb.org/?query=112937at4751	ATP-dependent RNA helicase DEAD-box, conserved site
115993at4751	Complete	contig_5	145155	150880	+	692.7	469	https://v10-1.orthodb.org/?query=115993at4751	WD40-repeat-containing domain
117017at4751	Complete	contig_5	94171	96165	+	706.1	483	https://v10-1.orthodb.org/?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Complete	contig_85	474726	472768	-	604.8	509	https://v10-1.orthodb.org/?query=118189at4751	WD40-repeat-containing domain
118701at4751	Fragmented	contig_86	1654124	1652390	-	347.4	305	https://v10-1.orthodb.org/?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Complete	contig_86	2427640	2424310	-	517.8	454	https://v10-1.orthodb.org/?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	contig_37	969877	964303	-	490.1	443	https://v10-1.orthodb.org/?query=122507at4751	WD40-repeat-containing domain
122824at4751	Complete	contig_1	1660271	1658241	-	193.0	257	https://v10-1.orthodb.org/?query=122824at4751	WD40-repeat-containing domain
123228at4751	Complete	contig_90	1347787	1351573	+	939.4	669	https://v10-1.orthodb.org/?query=123228at4751	Ribosome biogenesis protein Bms1, N-terminal
123277at4751	Complete	contig_6	1362026	1366971	+	1238.1	997	https://v10-1.orthodb.org/?query=123277at4751	WD40-repeat-containing domain
123494at4751	Complete	contig_1	1725573	1735781	+	340.6	264	https://v10-1.orthodb.org/?query=123494at4751	Actin family
125400at4751	Complete	contig_4	1172210	1174948	+	270.9	433	https://v10-1.orthodb.org/?query=125400at4751	RINT-1/Tip20
125935at4751	Complete	contig_5	1706102	1708394	+	493.5	399	https://v10-1.orthodb.org/?query=125935at4751	tRNA-dihydrouridine synthase
126037at4751	Complete	contig_93	931310	927912	-	472.9	401	https://v10-1.orthodb.org/?query=126037at4751	SNF2-related, N-terminal domain
126249at4751	Complete	contig_12	823177	825964	+	621.8	480	https://v10-1.orthodb.org/?query=126249at4751	RNA recognition motif domain
126256at4751	Complete	contig_1	411974	409409	-	465.1	341	https://v10-1.orthodb.org/?query=126256at4751	Non-specific serine/threonine protein kinase
126519at4751	Complete	contig_91	952538	950769	-	667.5	427	https://v10-1.orthodb.org/?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Complete	contig_86	869793	872590	+	372.5	405	https://v10-1.orthodb.org/?query=127140at4751	Protein arginine N-methyltransferase
129160at4751	Complete	contig_81	38386	36530	-	602.5	430	https://v10-1.orthodb.org/?query=129160at4751	GroEL-like apical domain superfamily
129326at4751	Complete	contig_10	831001	833807	+	521.1	538	https://v10-1.orthodb.org/?query=129326at4751	Nucleolar protein 14
129520at4751	Complete	contig_4	963910	960749	-	643.5	425	https://v10-1.orthodb.org/?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Complete	contig_90	682061	685301	+	521.6	665	https://v10-1.orthodb.org/?query=130062at4751	Armadillo-type fold
130930at4751	Complete	contig_86	567032	558221	-	2223.9	1739	https://v10-1.orthodb.org/?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Complete	contig_86	430342	428179	-	438.6	416	https://v10-1.orthodb.org/?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Complete	contig_12	917774	919410	+	186.7	198	https://v10-1.orthodb.org/?query=133954at4751	Proteasome component (PCI) domain
135184at4751	Complete	contig_12	900925	899001	-	277.6	246	https://v10-1.orthodb.org/?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	contig_5	1887076	1884812	-	528.0	377	https://v10-1.orthodb.org/?query=135652at4751	Poly(A) polymerase
137963at4751	Complete	contig_90	639410	641411	+	710.0	436	https://v10-1.orthodb.org/?query=137963at4751	Proline-tRNA ligase, class IIa
138484at4751	Complete	contig_1	1753694	1751408	-	247.3	328	https://v10-1.orthodb.org/?query=138484at4751	DNA polymerase epsilon subunit
138695at4751	Complete	contig_90	1909910	1906236	-	796.0	495	https://v10-1.orthodb.org/?query=138695at4751	Nucleolar GTP-binding protein 1
138697at4751	Complete	contig_93	1066447	1070624	+	450.2	308	https://v10-1.orthodb.org/?query=138697at4751	Threonine synthase, N-terminal
138833at4751	Complete	contig_12	589234	591548	+	701.4	488	https://v10-1.orthodb.org/?query=138833at4751	Armadillo-type fold
141273at4751	Complete	contig_85	571753	569597	-	359.1	276	https://v10-1.orthodb.org/?query=141273at4751	Methionyl-tRNA synthetase
142357at4751	Complete	contig_86	843273	845715	+	715.3	523	https://v10-1.orthodb.org/?query=142357at4751	Histidine kinase/HSP90-like ATPase
142965at4751	Complete	contig_6	803920	805843	+	311.0	258	https://v10-1.orthodb.org/?query=142965at4751	GPI transamidase component PIG-T
143414at4751	Complete	contig_12	249617	251839	+	431.6	460	https://v10-1.orthodb.org/?query=143414at4751	TCF25/Rqc1
145178at4751	Complete	contig_70	527378	523684	-	361.1	468	https://v10-1.orthodb.org/?query=145178at4751	Timeless protein
145378at4751	Complete	contig_93	232271	230075	-	450.4	388	https://v10-1.orthodb.org/?query=145378at4751	Translation initiation factor 2A
145524at4751	Complete	contig_5	1652392	1649995	-	468.4	295	https://v10-1.orthodb.org/?query=145524at4751	Lipin/Ned1/Smp2 (LNS2)
147028at4751	Complete	contig_1	435952	434327	-	346.7	301	https://v10-1.orthodb.org/?query=147028at4751	WD40-repeat-containing domain
148293at4751	Complete	contig_90	1475677	1473572	-	769.7	399	https://v10-1.orthodb.org/?query=148293at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
150469at4751	Complete	contig_9	220637	218906	-	540.6	368	https://v10-1.orthodb.org/?query=150469at4751	GroEL-like apical domain superfamily
153083at4751	Complete	contig_91	973256	975801	+	665.1	584	https://v10-1.orthodb.org/?query=153083at4751	Ubiquitin carboxyl-terminal hydrolase
154126at4751	Complete	contig_91	955683	958209	+	544.3	419	https://v10-1.orthodb.org/?query=154126at4751	Ubiquitin-like modifier-activating enzyme Atg7
156073at4751	Complete	contig_12	175107	177406	+	167.8	178	https://v10-1.orthodb.org/?query=156073at4751	Zinc finger, RING-type
